serial_number,comment,polarities,subjectivities
1,Beautiful performance,0.85,1.0
2,Seems like Italians have an appreciation of good music,0.7,0.6000000000000001
3,Esta pareja tiene magia siempre que interpretan juntos me encanta verlos porque dan gusto sus melod as,-0.25,0.5
4,Bel ssima apresenta o para os dois,0.8000000000000002,0.7000000000000001
5,Preciosa te ves con ese vestido y el sonido del violin cada dia es mejor,0.1,0.4
6,Karolina grows She is no more a kid,0.6000000000000001,0.625
7,Welcome to Italy Karolina Together with Daniele you are the best testimony for performing art like music and amazing life,1.0,1.0
8,Vous tes un des plus beaux duo pr sent sur cette plateforme,0.85,1.0
9,Am n excelente Dios te bendiga bendiciones desde Per,0.24404761904761907,0.5154761904761904
10,Como bom poder ouvir est m sica,0.85,1.0
11,Im dlak,0.24166666666666667,0.6404761904761905
12,I am completely blown away by the sounds you two are generating,0.4,0.9
13,Un intrattenimento perfetto Grazie mille E sono molto felice di vedere qui anche la violinista pi bella e talentuosa del mondo Karolina Protsenko Che talento e allet di anni Grazie Saluti dalla Germania,0.6,1.0
14,Bravissimi,0.45,0.875
15,Karollina linda e talentosa beijos aqui do brazil,0.3333333333333333,0.6666666666666666
16,Great performance Daniele Karolina Enjoy yourselves,0.4375,0.6875
17,Que beleza de musica Eu estou curtindo muito Adorei Obrigada,0.11818181818181818,0.7272727272727273
18,She is Awesome,0.35833333333333334,0.7000000000000001
19,Alegras corazones azotados por la pobreza de esp ritu Larga vida,0.5,0.5
20,Hermosa mi Karolina,1.0,1.0
21,Verdammt die Kleine ist erwachsen geworden,1.0,1.0
22,Simply Beautiful,0.625,0.55
23,Daniele this is beauty what you doing Listening you for awhile its other World music Love your work and duets with Karolina are special always Greetings for you my firend from Serbia Pls keep going on,-0.08333333333333333,0.03333333333333333
24,Beautiful,0.2,0.3
25,Karolina will be come October Her growth spurt is imo soon to subside Her physical stature as well as her talent makes her a world class attraction Since relocating from Norway to Los Angeles year old Angelina Jordan has grown to Is it possible that the sunny environment of California enhances the growth hormones Karolina and Angelina are not only statuesque but over the top beautiful,0.5666666666666667,0.7833333333333333
26,Look at the crowdyou two need to cut an album,0.675,1.0
27,Fantastic,0.826,1.0
28,Daniel o seu nome,0.85,1.0
29,Que showparabens que m sica espl ndida e nost lgicaAqui no Brasil ouvir muito essa m sicabom demais voces resgatarem essa Can oKarolina e voc meu lindo saxfonista,0.5,0.5
30,Ustedes son fabulosos,0.18692982456140353,0.3582456140350877
31,Se puso buenota,0.07142857142857142,0.35059523809523807
32,Bravissimi so nice,-0.09081632653061224,0.4554421768707483
33,Karolina looking so lovely in her dress sounding fabulous with Daniel,-0.07142857142857142,0.39285714285714285
34,Karolina super Polska pozdrawiam,1.0,1.0
35,You are perfect for each other guys,0.3625,0.6625
36,Wow entresting your new subscribers,0.5,1.0
37,Karolina y Daniel deberian recorrer todos los paises de Europa haciendo un tour musical les iria fantastico Ya que estan en Italia,0.2,0.2
38,Hello Karolina I think it might be a good song arranged with Saxophone and Violin Extreme More than words Greetings,0.7,0.6000000000000001
39,Superbe,1.0,1.0
40,Oh so wordeful,1.0,1.0
41,Better than BTS,0.39999999999999997,0.5750000000000001
42,Quel succ s Karolina lItalie te sourit Je ne sais pas si en France tu pourrais faire a,0.21428571428571427,0.5
