serial_number,comment,polarities,subjectivities
1,This is beyond beautiful Sam the jacket Cc best friend almost u,0.925,0.65
2,Like Me how covid hit me,0.5,1.0
3,This made me cry,0.0,1.0
4,Dag,-0.4,0.4
5,Msldkxkd ekdmx,1.0,1.0
6,Zmslzmsmxmxcmwlxmwmdmdmfmdmlxlxlxdmmsmxmmcmxdmqmxmxmcmc mddlmd Nfmdldmxxldllddllxmdmd mamsmddmdmdmdmdkdndkxxn,0.85,1.0
7,Algu m sabe o nome do filme,0.4,0.8
8,we are perfect in only direction,0.8,0.75
9,You are perfection My only direction,0.8,0.75
10,what is the movie name,1.0,0.3
11,hayat m n a k n buldu umda bu ark bizim dans m zi imiz olacak,0.4,0.8
12,Someone deleted this song from my playlist Im just here to retrieve it,0.4,0.8
13,Its yrs alr Oh my gosh,0.5,0.6
14,Still have a broken heart relationship But life goes on they say Pm,0.0,0.6666666666666666
15,Carisma amor verdades alegria amor e talentoso Sam Smith,0.5,0.6
16,Perfect,0.425,0.6218750000000001
17,Not a sam smith fan but i am a fan of this song,0.5,0.6
18,My L ve,-0.15,0.65
19,This song will forever be EVERGREEN,0.85,1.0
20,Que filme esse,0.85,1.0
21,I read the book This is a beautiful song,0.5,0.5
22,eu,0.4166666666666667,0.4777777777777778
23,FREE PALESTINE,-0.010714285714285685,0.6678571428571428
24,great,0.22316666666666665,0.6853333333333333
25,great,0.21388888888888888,0.625
26,like the comment under mine if this is the best song ever,-0.2,0.6
27,FREE PALESTINE,0.1,1.0
28,free Palestinians free Congolese,0.4,0.5
29,d,0.5,0.75
30,We dont get to choose who we love,0.15,0.6
31,Dans le flot de mes motions je me perds d sorient gar dans lombre La lueur de notre amour s vanouit laissant mon c ur dans la p nombre Je replonge dans nos instants ces souvenirs dor s ces moments destin s Nos rires complices nos regards chang s semblent seffacer dans l ternit Chaque moment pr s de toi tait une symphonie comme une douce m lodie Un horizon lumineux une promesse de bonheur d ternelle harmonie Pourtant je sens en moi lappel dun nouveau d part une nouvelle aventure Une pulsion de vie un d sir passionnant une soif de r ver encore je jure Je sais que le chemin sera sem de doutes de peurs dincertitudes Mais je suis pr t affronter les temp tes d fier ladversit dans cette solitude Je crois en ma destin e en la possibilit de retrouver cet amour vrai Celui qui apaisera les tourments de mes doux sentiments celui qui saura lire entre mes lignes mais aussi tout mes tourments celui qui apaisera mes peines et qui saura me montrer combien il m aime Je suis pr t ouvrir mon c ur une nouvelle me lui confier mes attentes et mes espoirs Je sais que ce ne sera pas un chemin facile mais qu il me m nera une fin s re je suis pr te tout surmonter pour ne serait quelques secondes pouvoir te retrouver au fond de moi je sens battre ce qui s enflamme cette lueur despoir qui se perd dans les flammes ma destin e est peut tre cette fin de notre histoire inachev e Je suis pr te tout pour retrouver cette tincelle qui fera battre mon c ur comme tout ses soirs ou j tais combl e de bonheur,0.6000000000000001,0.9
